Date,Close,High,Low,Open,Volume,Peaklabel
2020-12-14,13.272913932800293,13.352698442225064,13.042286805522245,13.052758486717757,270156000,0
2020-12-15,13.324527740478516,13.427748485122573,13.151245631264212,13.403563746810363,193016000,1
2020-12-16,13.206844329833984,13.401069790074672,13.17692442126804,13.386359025697105,223116000,0
2020-12-17,13.305327415466309,13.34347439206806,13.143015396942612,13.330758099129858,231384000,0
2020-12-18,13.236263275146484,13.36890457255971,13.035305907816458,13.342974558997565,342064000,0
2020-12-21,13.29635238647461,13.334000987593647,12.932584571882952,13.03954601291587,302332000,0
2020-12-22,13.242497444152832,13.301338599164437,13.018851407349192,13.28338741499722,185580000,0
2020-12-23,12.974218368530273,13.239252688223734,12.969980239029507,13.220303798178005,179144000,0
2020-12-24,12.958762168884277,13.09713864160341,12.903910910665946,13.002144985917322,97884000,0
2020-12-28,12.865267753601074,13.027330620228394,12.728886668754045,13.027330620228394,212564000,-1
2020-12-29,12.908400535583496,13.037303060291356,12.80767264131946,12.890200159923603,170372000,0
2020-12-30,13.11035442352295,13.178171170166523,12.86202527236656,12.955272704559913,225396000,0
2020-12-31,13.01984977722168,13.115591016138055,12.880226384175948,13.10113039211051,192424000,0
2021-01-04,13.078190803527832,13.615740025400568,12.927597356723487,13.068966021637818,560640000,0
2021-01-05,13.368657112121582,13.407302472036285,13.051762687944073,13.064478030942194,322760000,1
2021-01-06,12.580534934997559,13.209337125501545,12.552112068194326,13.18689766972291,580424000,-1
2021-01-07,13.308070182800293,13.341729841116257,12.851802529047573,12.932583806792925,461480000,0
2021-01-08,13.241002082824707,13.384863607308843,13.006884350512529,13.326521779999155,292528000,0
2021-01-11,13.584821701049805,13.92340796294475,13.326519279670418,13.3826174360871,518344000,1
2021-01-12,13.448441505432129,13.717465785050065,13.309068260271541,13.715470363600701,291476000,0
2021-01-13,13.49531364440918,13.588312829989961,13.348959290974944,13.453676107629107,210028000,0
2021-01-14,13.164706230163574,13.563130416335552,13.145009767302131,13.538447302511603,283120000,0
2021-01-15,12.824873924255371,13.289369568359072,12.813903862869852,13.192381442840862,277780000,-1
2021-01-19,12.990179061889648,13.058743377173263,12.809416519182339,12.981202518899085,226188000,0
2021-01-20,13.329761505126953,13.394336876836816,13.021593507664505,13.07644476713692,258572000,0
2021-01-21,13.830159187316895,13.961554529667763,13.21731381023558,13.3823678552318,337780000,1
2021-01-22,13.675578117370605,13.804480631139272,13.590557755615594,13.703004224602513,246820000,0
